id,year,month,text_clean,tags_raw,macro_tags,cluster_final,cluster_method,feature_set,umap2_x,umap2_y,umap3_x,umap3_y,umap3_z
-413100001,1996,1,"Лежит Пятачок, без глаза и без ноги . Походит Иа-Иа и спрашивает: - Что случилось , Пятачок ? - Да вот, поспорили с Винни на глаз, что он мне ногу не оторвет.","[""Винни-Пух""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-2.451929,5.887388,0.591934,6.0452914,1.7490835
-413100002,1996,1,"Наркоман поступил на работу в зоопарк. На следующий день ему поручили убрать клетку с черепахами. Вечером работники собираются в раздевалке, а наркомана нет. Подходят к клетке с черепахами, а там наркоман сидит в углу обкуренный и ни одной черепахи нет. - Парень , а где черепахи-то? - Понимаете, чуваки, я открыл клетку, а они как ломанутся...","[""наркотики""]","[""alcohol_smoking_drugs""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-1.7527584,5.6279874,0.3492504,5.474958,0.54425174
-413000002,1996,1,"В троллейбус входит мужик с боксером(кобель). Малой лет четырех, указывая на собаку: - Мама, смотри какие шарики!","[""троллейбус""]","[""transport""]",5,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-1.4478321,5.62524,0.2393402,5.2046103,1.3697115
-413000003,1996,1,"Троллейбус. Утро. Батя, молоденький старлей, распекает ноющего сына. - Будешь хныкать - всем в детсадике расскажу что ты нытик, прям как девочка. - А я тогда всем расскажу что ты ночью в мой горшок писяешь!","[""троллейбус""]","[""transport""]",5,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-1.5655528,5.431574,0.106450275,5.322716,0.26754943
-412800006,1996,1,"У одного мужика небыло чувства юмора, ну абсолютно. И родственники решили у него это чувство развить и собравшись стали рассказывать анекдоты: Театр, всем нам изветная постановка, монолог: Коня, полцарства за коня!!! Голос из верхней ложи: А осел не подойдет? Артист не растрялся и отвечает: Подойдет, спускайтесь сюда. Все смеются и родственник без чувства юмора смеется громче всех, все довольны. А он отсмеявшись говорит: Да, и как они умудрились наверх осла затащить?","[""юмор""]","[""absurd_philosophy""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-1.753996,5.7342205,0.05898522,5.300855,0.27946967
-412600006,1996,1,"К 100-летию со дня смерти Пушкина собрались поставить ему памятник. Как положено, отнесли проект Сталину. Скульптор (Ск) : Проект - Стоит Пушкин, читает томик Сталина Сталин (Ст): Эта верна палытычески, но не верна истарически Ск: Ok, Проект - Стоит Сталин, читает томик Пушкина Ст: Эта верна истарически, но не верна палытычески Ск: Ok, Проект - Стоит Сталин, читает томик Сталина Ст: Эта верна и истарически и палытычески, будем ставить","[""Пушкин"", ""Сталин""]","[""soviet_history_politics"", ""literature_folklore_characters""]",0,leiden,hybrid_dense_lexical_dw0.75_lw0.25,3.2656708,7.6146665,4.047231,6.0446377,1.5020567
-412400007,1996,1,"Еврей летит в самолете рядом с негром. Негр достает из кармана газету на идише и начинает ее читать. Еврей с непониманием: - Слушай, тебе что, негром быть мало?","[""авиация""]","[""transport""]",18,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.9105305,6.7245407,0.9528233,5.922,-0.21287149
-412300007,1996,1,"Полковник танцует на балу с Hаташей. - В вашем полку поручик Ржевский служит? - спрашивает Hаташа. - В моем, матушка. - отвечает полковник - Ужасный пошляк этот Ржевский - возмущается Hаташа - Позволю себе с вами не согласиться, сударыня - возражает полковник - поручик - шутник каких мало. Hамедни имел я козу за казармой, так поручик подкрался тихо и как взвоет волком - у меня в руках одни рога и остались...","[""Ржевский""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.59776336,5.4622965,0.93094134,5.475804,0.91174024
-412200003,1996,1,"Приходит студентка(С) сдавать экзамен, а преподаватель (женщина)(П), естессно фамилию спрашивает. С: Мнется стоит, краснеет. П: -Hу что же вы? С: -Да у меня фамилия такая необычная, я стесняюсь... П: -Hу вы хоть намекните, что ли С: -Да вы каждый день ЭТО в рот берете П: -Х``#$:на, что ли? С: -Да нет, - Ложечка","[""студент""]","[""education_children""]",8,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.2964639,2.0544007,0.30579978,3.2097306,2.7181
-412200009,1996,1,"Медик студент отвечает урок: Здесь у скелета был нос, здесъ пупок. Ниже, профессор, был некий предмет... -Не был, а бывал, - это женский секлет.","[""студент""]","[""education_children""]",8,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.083313085,2.2744355,0.5731003,3.0906382,2.4395385
-422700001,1996,2,"Илья Муромец домой приезжает, глядь: а отец его весь в синяках на кроватке валяется. ИМ: Кто это тебя, батюшка, так отколошматил-то? О: Дык, Соловей-Разбойник. ИМ: Садись на коня, поедем разбираться. Долго-ли, коротко-ли, приехали в дремучий лес и давай Соловья-Разбойника вызывать: выходи, мол, во чисто поле ... С-Р выходит и говорит: Ч:е? ИМ: Ты знаешь кто я такой!? (грозно так говорит) С-Р: Ты - Илья Муромец, слава земли русской и гроза всей нечисти. ИМ: А это знаешь кто? (на отца показывает) С-Р: А это твой отец - козел и п$``%;ас! - и бьет отца в фейс прямо. ИМ (несколько охреневши так): Да ты ч:е это? Не понял кто я такой? С-Р: Ты - Илья Муромец, слава земли русской и гроза всей нечисти. ИМ: Ну, а это ? (опять на отца показывает) С-Р: А это твой отец - козел и п$``%;ас! - и снова отцу по вывеске. ИМ (закричал, ногами затопал): Соловей-Разбойник, я кто ? С-Р: Ну кто-кто: Илья Муромец, слава земли русской и гроза всей нечисти. ИМ: А он? С-Р: А он твой отец - козел и п$``%;ас! - и снова отцу по вывеске. ИМ: СОЛОВЕЙ!!!... О (устало так): Ладно Ильюша, поехали домой, надоели мне такие разборки.","[""богатыри""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-2.0374727,5.7735143,0.89213437,5.8359528,1.5546646
-422500001,1996,2,"Петька с Чапаевым попали в плен, Петька сразу переметнулся к белым, а Чапаева пытали, пытали - не сдается. Решили его казнить таким образом: Содрать с ж... кожу и сделать барабан. Подходит Петька к Василию Ивановичу с ножом и говорит: ``Ну поворачивайся`` ``Петька, выполни последнее желание - дай мне гвоздь`` Дали ему гвоздь. Василий Иванович вскочил, стал тыкать себя в жопу гвоздем, приговаривая: ``Вот вам барабан, вот вам барабан``","[""чапаев""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,0.041551225,8.155006,1.2030326,6.431858,1.8505363
-422500004,1996,2,"В классе идет урок. Вдруг открывается дверь, входит завуч и говорит: -Вовочка, тебя вызывает директор для беседы. Ну, никто не удивляется- Вовочку часто к директору вызывают. В кабинете директор говорит Вовочке: - Вовочка ! Вчера твой брат Саша совершил злодейское покушение на Его Императорское Величество.","[""вовочка""]","[""education_children""]",5,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-3.0699196,4.320679,-0.9045834,4.878439,2.178957
-422300014,1996,2,"Экзамен в зооинституте. Студент с бодуна ничего не может вспомнить, профессор изо всех сил пытается вытянуть его на ``3``... - Ладно, последний, очень простой вопрос. Сколько у коровы сисек? Студент морщит лоб. - Не помню... У доярки - точно две.","[""студент""]","[""education_children""]",8,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.36111438,2.018461,0.23434652,3.3910744,2.6294413
-422000003,1996,2,"Едут в машине трое - техник, бизнесмен и программист. Вдруг машина заглохла. Техник вылез, открыл капот, стал там копаться. Бизнесмен достал свой мобильный телефон и стал вызывать техпомощь. Программист удивленно посмотрел на них и спросил: - Ребята, а вы не пробовали просто выйти и снова войти?","[""работа""]","[""work_professions""]",12,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.95749617,6.651968,1.1495014,5.564003,-0.51285505
-421900010,1996,2,"Сын говорит матери: -- Я больше не пойду в школу! -- Это почему же? -- Да ну ее! Петров опять будет из рогатки стрелять, Синицын учебником по голове бить, Васильев подножки ставить... Не пойду! -- Нет, Вовочка, успокойся, ты должен, просто обязан идти! Во-первых, тебе уже сорок лет, а во-вторых, ты -- директор школы.","[""вовочка""]","[""education_children""]",5,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-2.9904056,4.4074855,-0.91044974,4.8021913,1.9689819
-421900013,1996,2,"Приходит Пятачок к Винни-Пуху. Дверь открывает секретарь Винни-Пуха. -- Пух дома? -- Во-первых, не Пух, а медведь Винниамин, а во-вторых, его нет дома. -- Ну, тогда передайте, что заходил кабан Полтинник.","[""Винни-Пух""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-2.4945965,5.9429264,0.5894744,6.100941,1.7803825
-433100007,1996,3,"Летел как-то Карлосон над Красной площадью, устал, и присел на окно к Брежневу: - Доброе утро, Леонид Ильич! Брежнев тяжело поднял брови и сделал удивленное лицо. - Это же я - Карлсон. - Гмм, гмм, - еще более вопрошающе нахмурил брови генсек. - Да меня все знают, даже дети, и много книг про меня написано! - Хм, да-а, да-а, а где же ваш друг Энгельсон?","[""Карлсон""]","[""literature_folklore_characters""]",7,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-0.74769545,6.712152,1.1406214,5.9599833,0.17448823
-432500001,1996,3,"Приходит Вовочка домой и объявляет отцу: - Папа, на сегодня назначено маленькое родительское собрание. - Что значит ``маленькое``? - А на него приглашают тебя, меня и директора.","[""вовочка""]","[""education_children""]",5,leiden,hybrid_dense_lexical_dw0.75_lw0.25,-2.7987673,4.483428,-0.81563157,4.8352094,1.9519112
